id,label,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_in_sequence,sequence_length
seq5064,both,58.0,127.0,60.0,8,150
seq5065,A_only,71.0,,,0,150
seq5066,A_only,100.0,,,0,150
seq5067,A_only,122.0,,,0,150
seq5068,both,78.0,135.0,50.0,0,150
seq5069,A_only,105.0,,,13,150
seq5070,B_only,,52.0,,14,150
seq5071,B_only,,41.0,,14,150
seq5072,no_motif,,,,15,150
seq5073,both,73.0,140.0,60.0,0,150
seq5074,B_only,,100.0,,14,150
seq5075,both,46.0,128.0,70.0,10,150
seq5076,A_only,16.0,,,13,150
seq5077,A_only,92.0,,,14,150
seq5078,no_motif,,,,15,150
seq5079,B_only,,10.0,,14,150
seq5080,both,22.0,93.0,60.0,11,150
seq5081,both,3.0,76.0,60.0,13,150
seq5082,A_only,32.0,,,14,150
seq5083,both,27.0,56.0,20.0,12,150
seq5084,A_only,47.0,,,0,150
seq5085,A_only,74.0,,,13,150
seq5086,B_only,,108.0,,13,150
seq5087,both,35.0,104.0,60.0,8,150
seq5088,both,8.0,89.0,70.0,10,150
seq5089,B_only,,58.0,,0,150
seq5090,A_only,25.0,,,13,150
seq5091,B_only,,100.0,,14,150
seq5092,B_only,,19.0,,13,150
seq5093,both,3.0,96.0,80.0,11,150
seq5094,no_motif,,,,15,150
seq5095,no_motif,,,,15,150
seq5096,both,18.0,87.0,60.0,8,150
seq5097,B_only,,141.0,,15,150
seq5098,B_only,,35.0,,13,150
seq5099,both,28.0,105.0,70.0,0,150
seq5100,both,48.0,66.0,10.0,12,150
seq5101,both,80.0,140.0,50.0,12,150
seq5102,A_only,82.0,,,0,150
seq5103,B_only,,3.0,,15,150
seq5104,both,14.0,130.0,100.0,11,150
seq5105,B_only,,40.0,,14,150
seq5106,A_only,44.0,,,13,150
seq5107,both,75.0,93.0,10.0,13,150
seq5108,both,55.0,82.0,20.0,0,150
seq5109,no_motif,,,,0,150
seq5110,B_only,,87.0,,0,150
seq5111,B_only,,142.0,,15,150
seq5112,both,5.0,102.0,90.0,0,150
seq5113,A_only,114.0,,,13,150
seq5114,A_only,28.0,,,0,150
seq5115,both,106.0,135.0,20.0,13,150
seq5116,both,57.0,75.0,10.0,12,150
seq5117,B_only,,93.0,,14,150
seq5118,both,41.0,69.0,20.0,12,150
seq5119,A_only,82.0,,,0,150
seq5120,B_only,,80.0,,14,150
seq5121,both,93.0,122.0,20.0,13,150
seq5122,both,71.0,122.0,40.0,13,150
seq5123,B_only,,14.0,,13,150
seq5124,A_only,98.0,,,0,150
seq5125,both,31.0,129.0,90.0,5,150
seq5126,both,7.0,47.0,30.0,13,150
seq5127,B_only,,110.0,,0,150
seq5128,B_only,,112.0,,14,150
seq5129,both,66.0,143.0,70.0,0,150
seq5130,both,114.0,132.0,10.0,13,150
seq5131,both,6.0,103.0,90.0,0,150
seq5132,A_only,14.0,,,0,150
seq5133,B_only,,52.0,,14,150
seq5134,both,77.0,127.0,40.0,11,150
seq5135,B_only,,69.0,,0,150
seq5136,A_only,124.0,,,13,150
seq5137,A_only,123.0,,,14,150
seq5138,both,13.0,112.0,90.0,6,150
seq5139,B_only,,67.0,,13,150
seq5140,B_only,,113.0,,14,150
seq5141,B_only,,3.0,,15,150
seq5142,A_only,130.0,,,0,150
seq5143,both,7.0,47.0,30.0,13,150
seq5144,both,7.0,114.0,100.0,0,150
seq5145,both,72.0,89.0,10.0,0,150
seq5146,both,83.0,134.0,40.0,13,150
seq5147,A_only,81.0,,,14,150
seq5148,both,24.0,97.0,60.0,12,150
seq5149,A_only,103.0,,,0,150
seq5150,both,24.0,92.0,60.0,8,150
seq5151,A_only,113.0,,,0,150
seq5152,no_motif,,,,15,150
seq5153,A_only,66.0,,,13,150
seq5154,both,5.0,114.0,100.0,5,150
seq5155,A_only,65.0,,,0,150
seq5156,A_only,3.0,,,0,150
seq5157,both,0.0,38.0,30.0,11,150
seq5158,both,11.0,100.0,80.0,7,150
seq5159,B_only,,44.0,,13,150
seq5160,both,22.0,60.0,30.0,11,150
seq5161,both,51.0,79.0,20.0,12,150
seq5162,A_only,68.0,,,13,150
seq5163,no_motif,,,,15,150
seq5164,B_only,,132.0,,0,150
seq5165,both,23.0,114.0,80.0,8,150
seq5166,B_only,,96.0,,13,150
seq5167,both,38.0,88.0,40.0,11,150
seq5168,both,26.0,76.0,40.0,11,150
seq5169,no_motif,,,,15,150
seq5170,A_only,3.0,,,15,150
seq5171,both,8.0,37.0,20.0,13,150
seq5172,both,22.0,109.0,80.0,0,150
seq5173,B_only,,109.0,,13,150
seq5174,A_only,130.0,,,0,150
seq5175,B_only,,75.0,,0,150
seq5176,A_only,13.0,,,14,150
seq5177,both,76.0,126.0,40.0,11,150
seq5178,no_motif,,,,15,150
seq5179,no_motif,,,,15,150
seq5180,B_only,,130.0,,0,150
seq5181,both,14.0,108.0,80.0,11,150
seq5182,both,61.0,120.0,50.0,10,150
seq5183,both,22.0,59.0,30.0,0,150
seq5184,no_motif,,,,15,150
seq5185,both,37.0,96.0,50.0,9,150
seq5186,B_only,,106.0,,13,150
seq5187,B_only,,141.0,,15,150
seq5188,A_only,71.0,,,14,150
seq5189,both,28.0,97.0,60.0,8,150
seq5190,both,6.0,122.0,100.0,12,150
seq5191,B_only,,42.0,,14,150
seq5192,both,82.0,132.0,40.0,12,150
seq5193,B_only,,47.0,,13,150
seq5194,B_only,,136.0,,14,150
seq5195,B_only,,101.0,,14,150
seq5196,A_only,32.0,,,14,150
seq5197,B_only,,31.0,,14,150
seq5198,A_only,13.0,,,14,150
seq5199,both,43.0,114.0,60.0,10,150
seq5200,no_motif,,,,15,150
seq5201,B_only,,100.0,,14,150
seq5202,both,78.0,106.0,20.0,11,150
seq5203,both,45.0,94.0,40.0,10,150
seq5204,both,13.0,110.0,90.0,0,150
seq5205,A_only,83.0,,,14,150
seq5206,A_only,17.0,,,13,150
seq5207,both,2.0,89.0,80.0,0,150
seq5208,both,14.0,120.0,90.0,12,150
seq5209,B_only,,82.0,,0,150
seq5210,A_only,42.0,,,14,150
seq5211,both,57.0,127.0,60.0,9,150
seq5212,A_only,112.0,,,14,150
seq5213,both,59.0,106.0,40.0,0,150
seq5214,both,25.0,126.0,90.0,7,150
seq5215,both,77.0,95.0,10.0,12,150
seq5216,A_only,25.0,,,0,150
seq5217,B_only,,39.0,,13,150
seq5218,both,36.0,129.0,80.0,10,150
seq5219,both,56.0,117.0,50.0,11,150
seq5220,B_only,,101.0,,0,150
seq5221,A_only,75.0,,,13,150
seq5222,both,37.0,110.0,60.0,12,150
seq5223,B_only,,47.0,,13,150
seq5224,both,28.0,135.0,100.0,0,150
seq5225,A_only,116.0,,,13,150
seq5226,both,48.0,75.0,20.0,0,150
seq5227,both,5.0,89.0,70.0,13,150
seq5228,both,8.0,123.0,100.0,11,150
seq5229,A_only,38.0,,,13,150
seq5230,B_only,,71.0,,14,150
seq5231,B_only,,77.0,,13,150
seq5232,A_only,57.0,,,13,150
seq5233,B_only,,19.0,,0,150
seq5234,both,12.0,114.0,90.0,8,150
seq5235,both,57.0,85.0,20.0,11,150
seq5236,both,10.0,69.0,50.0,10,150
seq5237,B_only,,13.0,,14,150
seq5238,B_only,,91.0,,14,150
seq5239,both,110.0,137.0,20.0,0,150
seq5240,A_only,31.0,,,14,150
seq5241,no_motif,,,,15,150
seq5242,A_only,25.0,,,0,150
seq5243,B_only,,130.0,,0,150
seq5244,A_only,22.0,,,14,150
seq5245,both,12.0,70.0,50.0,9,150
seq5246,both,41.0,69.0,20.0,12,150
seq5247,B_only,,102.0,,14,150
seq5248,both,11.0,115.0,90.0,10,150
seq5249,no_motif,,,,15,150
seq5250,no_motif,,,,15,150
seq5251,both,8.0,100.0,80.0,10,150
seq5252,B_only,,69.0,,13,150
seq5253,both,7.0,118.0,100.0,7,150
seq5254,both,40.0,79.0,30.0,12,150
seq5255,both,45.0,96.0,40.0,12,150
seq5256,B_only,,15.0,,13,150
seq5257,B_only,,28.0,,13,150
seq5258,both,25.0,72.0,40.0,0,150
seq5259,both,63.0,141.0,70.0,8,150
seq5260,no_motif,,,,15,150
seq5261,both,70.0,107.0,30.0,0,150
seq5262,A_only,42.0,,,14,150
seq5263,A_only,29.0,,,13,150
seq5264,both,72.0,99.0,20.0,0,150
seq5265,B_only,,101.0,,0,150
seq5266,B_only,,130.0,,14,150
seq5267,A_only,129.0,,,13,150
seq5268,B_only,,64.0,,13,150
seq5269,A_only,45.0,,,13,150
seq5270,A_only,132.0,,,0,150
seq5271,B_only,,138.0,,0,150
seq5272,both,64.0,81.0,10.0,0,150
seq5273,both,29.0,46.0,10.0,0,150
seq5274,both,74.0,132.0,50.0,9,150
seq5275,no_motif,,,,15,150
seq5276,A_only,1.0,,,0,150
seq5277,A_only,4.0,,,14,150
seq5278,B_only,,70.0,,14,150
seq5279,both,38.0,122.0,70.0,12,150
seq5280,both,39.0,57.0,10.0,12,150
seq5281,both,36.0,84.0,40.0,9,150
seq5282,both,75.0,103.0,20.0,12,150
seq5283,both,66.0,133.0,60.0,0,150
seq5284,A_only,105.0,,,13,150
seq5285,A_only,142.0,,,15,150
seq5286,B_only,,120.0,,14,150
seq5287,both,29.0,122.0,80.0,10,150
seq5288,B_only,,27.0,,0,150
seq5289,A_only,0.0,,,14,150
seq5290,B_only,,103.0,,14,150
seq5291,A_only,79.0,,,13,150
seq5292,both,4.0,110.0,90.0,13,150
seq5293,A_only,133.0,,,14,150
seq5294,both,30.0,80.0,40.0,12,150
seq5295,both,48.0,85.0,30.0,0,150
seq5296,A_only,118.0,,,13,150
seq5297,A_only,126.0,,,0,150
seq5298,no_motif,,,,15,150
seq5299,both,108.0,125.0,10.0,0,150
seq5300,A_only,124.0,,,13,150
seq5301,B_only,,14.0,,13,150
seq5302,B_only,,1.0,,15,150
seq5303,no_motif,,,,15,150
seq5304,both,12.0,84.0,60.0,11,150
seq5305,B_only,,124.0,,13,150
seq5306,B_only,,22.0,,14,150
seq5307,both,9.0,59.0,40.0,12,150
seq5308,both,39.0,96.0,50.0,0,150
seq5309,both,64.0,125.0,50.0,11,150
seq5310,A_only,129.0,,,0,150
seq5311,both,53.0,126.0,60.0,12,150
seq5312,both,20.0,67.0,40.0,0,150
seq5313,both,4.0,65.0,50.0,12,150
seq5314,both,35.0,108.0,60.0,12,150
seq5315,B_only,,131.0,,14,150
seq5316,both,11.0,92.0,70.0,10,150
seq5317,B_only,,20.0,,14,150
seq5318,both,31.0,124.0,80.0,10,150
seq5319,both,107.0,125.0,10.0,12,150
seq5320,both,47.0,84.0,30.0,0,150
seq5321,both,11.0,94.0,70.0,11,150
seq5322,no_motif,,,,15,150
seq5323,both,2.0,104.0,90.0,9,150
seq5324,A_only,24.0,,,0,150
seq5325,A_only,0.0,,,14,150
seq5326,B_only,,127.0,,13,150
seq5327,B_only,,37.0,,13,150
seq5328,B_only,,70.0,,14,150
seq5329,both,7.0,94.0,80.0,0,150
seq5330,no_motif,,,,15,150
seq5331,B_only,,66.0,,13,150
seq5332,both,91.0,131.0,30.0,13,150
seq5333,both,8.0,114.0,90.0,12,150
seq5334,B_only,,47.0,,0,150
seq5335,both,39.0,132.0,80.0,10,150
seq5336,both,73.0,91.0,10.0,13,150
seq5337,B_only,,11.0,,14,150
seq5338,no_motif,,,,15,150
seq5339,A_only,133.0,,,14,150
seq5340,A_only,115.0,,,13,150
seq5341,no_motif,,,,15,150
seq5342,no_motif,,,,15,150
seq5343,B_only,,33.0,,14,150
seq5344,both,59.0,121.0,50.0,12,150
seq5345,both,12.0,72.0,50.0,11,150
seq5346,both,10.0,80.0,60.0,10,150
seq5347,both,57.0,106.0,40.0,10,150
seq5348,both,64.0,115.0,40.0,12,150
seq5349,both,7.0,78.0,60.0,11,150
seq5350,both,53.0,90.0,30.0,0,150
seq5351,B_only,,59.0,,0,150
seq5352,both,24.0,81.0,50.0,0,150
seq5353,both,30.0,103.0,60.0,13,150
seq5354,B_only,,106.0,,13,150
seq5355,A_only,120.0,,,14,150
seq5356,both,47.0,87.0,30.0,12,150
seq5357,no_motif,,,,15,150
seq5358,B_only,,5.0,,14,150
seq5359,both,35.0,122.0,80.0,0,150
seq5360,A_only,85.0,,,13,150
seq5361,B_only,,123.0,,14,150
seq5362,both,6.0,99.0,80.0,11,150
seq5363,A_only,111.0,,,14,150
seq5364,A_only,97.0,,,13,150
seq5365,B_only,,123.0,,14,150
seq5366,A_only,18.0,,,13,150
seq5367,B_only,,83.0,,0,150
seq5368,both,95.0,124.0,20.0,12,150
seq5369,both,70.0,97.0,20.0,0,150
seq5370,both,19.0,67.0,40.0,9,150
seq5371,no_motif,,,,15,150
seq5372,A_only,133.0,,,14,150
seq5373,B_only,,8.0,,14,150
seq5374,B_only,,27.0,,13,150
seq5375,both,67.0,117.0,40.0,11,150
seq5376,both,1.0,69.0,60.0,9,150
seq5377,both,20.0,121.0,90.0,8,150
seq5378,both,48.0,109.0,50.0,11,150
seq5379,both,51.0,69.0,10.0,13,150
seq5380,no_motif,,,,0,150
seq5381,both,25.0,52.0,20.0,0,150
seq5382,A_only,86.0,,,0,150
seq5383,B_only,,36.0,,0,150
seq5384,A_only,36.0,,,13,150
seq5385,both,67.0,106.0,30.0,11,150
seq5386,B_only,,117.0,,13,150
seq5387,B_only,,40.0,,0,150
seq5388,both,22.0,130.0,100.0,4,150
seq5389,B_only,,128.0,,13,150
seq5390,both,93.0,133.0,30.0,13,150
seq5391,A_only,99.0,,,13,150
seq5392,A_only,84.0,,,13,150
seq5393,no_motif,,,,15,150
seq5394,B_only,,96.0,,13,150
seq5395,both,1.0,93.0,80.0,11,150
seq5396,both,3.0,98.0,80.0,13,150
seq5397,B_only,,25.0,,0,150
seq5398,A_only,40.0,,,14,150
seq5399,both,20.0,126.0,90.0,12,150
seq5400,B_only,,40.0,,14,150
seq5401,no_motif,,,,0,150
seq5402,no_motif,,,,15,150
seq5403,both,86.0,124.0,30.0,10,150
seq5404,A_only,71.0,,,14,150
seq5405,both,71.0,143.0,60.0,12,150
seq5406,A_only,98.0,,,13,150
seq5407,both,94.0,112.0,10.0,13,150
seq5408,both,14.0,129.0,100.0,10,150
seq5409,A_only,110.0,,,14,150
seq5410,both,64.0,112.0,40.0,10,150
seq5411,both,32.0,99.0,60.0,0,150
seq5412,no_motif,,,,0,150
seq5413,both,54.0,122.0,60.0,8,150
seq5414,A_only,137.0,,,14,150
seq5415,B_only,,127.0,,0,150
seq5416,no_motif,,,,0,150
seq5417,both,26.0,77.0,40.0,12,150
seq5418,both,61.0,100.0,30.0,12,150
seq5419,A_only,85.0,,,0,150
seq5420,A_only,103.0,,,0,150
seq5421,both,109.0,127.0,10.0,12,150
seq5422,B_only,,133.0,,14,150
seq5423,B_only,,110.0,,14,150
seq5424,B_only,,38.0,,13,150
seq5425,B_only,,35.0,,0,150
seq5426,no_motif,,,,15,150
seq5427,both,56.0,124.0,60.0,7,150
seq5428,both,49.0,111.0,50.0,12,150
seq5429,B_only,,129.0,,0,150
seq5430,both,23.0,41.0,10.0,13,150
seq5431,B_only,,119.0,,0,150
seq5432,A_only,114.0,,,13,150
seq5433,A_only,30.0,,,14,150
seq5434,A_only,95.0,,,0,150
seq5435,A_only,17.0,,,13,150
seq5436,no_motif,,,,15,150
seq5437,both,63.0,114.0,40.0,12,150
seq5438,A_only,56.0,,,0,150
seq5439,B_only,,29.0,,13,150
seq5440,both,26.0,129.0,90.0,9,150
seq5441,no_motif,,,,15,150
seq5442,B_only,,46.0,,13,150
seq5443,both,83.0,132.0,40.0,11,150
seq5444,both,19.0,124.0,90.0,10,150
seq5445,A_only,74.0,,,13,150
seq5446,A_only,20.0,,,0,150
seq5447,both,90.0,137.0,40.0,0,150
seq5448,both,26.0,106.0,70.0,8,150
seq5449,B_only,,114.0,,13,150
seq5450,A_only,21.0,,,14,150
seq5451,A_only,74.0,,,0,150
seq5452,A_only,61.0,,,14,150
seq5453,A_only,62.0,,,14,150
seq5454,A_only,75.0,,,13,150
seq5455,both,14.0,101.0,80.0,0,150
seq5456,B_only,,37.0,,13,150
seq5457,both,27.0,136.0,100.0,5,150
seq5458,both,5.0,120.0,100.0,11,150
seq5459,both,78.0,140.0,50.0,13,150
seq5460,both,21.0,61.0,30.0,13,150
seq5461,A_only,44.0,,,0,150
seq5462,both,34.0,52.0,10.0,13,150
seq5463,A_only,64.0,,,13,150
seq5464,both,7.0,100.0,80.0,11,150
seq5465,both,18.0,125.0,100.0,0,150
seq5466,B_only,,111.0,,14,150
seq5467,no_motif,,,,0,150
seq5468,both,42.0,132.0,80.0,8,150
seq5469,both,88.0,116.0,20.0,11,150
seq5470,B_only,,81.0,,14,150
seq5471,A_only,98.0,,,13,150
seq5472,A_only,96.0,,,13,150
seq5473,both,113.0,142.0,20.0,14,150
seq5474,both,23.0,100.0,70.0,0,150
seq5475,both,9.0,38.0,20.0,13,150
seq5476,B_only,,88.0,,13,150
seq5477,B_only,,78.0,,0,150
seq5478,A_only,51.0,,,0,150
seq5479,both,9.0,115.0,90.0,12,150
seq5480,both,72.0,121.0,40.0,11,150
seq5481,A_only,16.0,,,13,150
seq5482,B_only,,49.0,,13,150
seq5483,both,9.0,27.0,10.0,13,150
seq5484,A_only,20.0,,,14,150
seq5485,B_only,,132.0,,0,150
seq5486,B_only,,44.0,,13,150
seq5487,A_only,69.0,,,0,150
seq5488,both,20.0,122.0,90.0,9,150
seq5489,A_only,82.0,,,14,150
seq5490,A_only,35.0,,,0,150
seq5491,B_only,,43.0,,0,150
seq5492,no_motif,,,,0,150
seq5493,A_only,16.0,,,13,150
seq5494,both,51.0,142.0,80.0,10,150
seq5495,B_only,,89.0,,0,150
seq5496,both,1.0,98.0,90.0,0,150
seq5497,A_only,89.0,,,13,150
seq5498,B_only,,9.0,,14,150
seq5499,no_motif,,,,15,150
seq5500,both,9.0,118.0,100.0,5,150
seq5501,both,113.0,130.0,10.0,0,150
seq5502,B_only,,104.0,,13,150
seq5503,both,3.0,90.0,80.0,0,150
seq5504,A_only,4.0,,,14,150
seq5505,both,49.0,67.0,10.0,12,150
seq5506,A_only,0.0,,,14,150
seq5507,A_only,143.0,,,14,150
seq5508,both,25.0,54.0,20.0,12,150
seq5509,A_only,40.0,,,0,150
seq5510,both,25.0,92.0,60.0,0,150
seq5511,A_only,40.0,,,14,150
seq5512,both,61.0,111.0,40.0,12,150
seq5513,no_motif,,,,15,150
seq5514,A_only,132.0,,,0,150
seq5515,both,84.0,102.0,10.0,13,150
seq5516,A_only,134.0,,,0,150
seq5517,A_only,59.0,,,13,150
seq5518,B_only,,129.0,,0,150
seq5519,A_only,91.0,,,14,150
seq5520,B_only,,23.0,,14,150
seq5521,both,49.0,96.0,40.0,0,150
seq5522,B_only,,133.0,,14,150
seq5523,A_only,21.0,,,14,150
seq5524,B_only,,82.0,,14,150
seq5525,no_motif,,,,0,150
seq5526,B_only,,49.0,,0,150
seq5527,both,71.0,109.0,30.0,11,150
seq5528,A_only,61.0,,,14,150
seq5529,both,37.0,107.0,60.0,9,150
seq5530,B_only,,16.0,,13,150
seq5531,no_motif,,,,15,150
seq5532,A_only,118.0,,,13,150
seq5533,A_only,56.0,,,13,150
seq5534,both,22.0,79.0,50.0,0,150
seq5535,no_motif,,,,15,150
seq5536,B_only,,93.0,,0,150
seq5537,both,123.0,141.0,10.0,14,150
seq5538,both,43.0,112.0,60.0,9,150
seq5539,no_motif,,,,15,150
seq5540,both,7.0,94.0,80.0,0,150
seq5541,both,1.0,96.0,80.0,13,150
seq5542,both,24.0,117.0,80.0,10,150
seq5543,no_motif,,,,0,150
seq5544,no_motif,,,,0,150
seq5545,B_only,,127.0,,13,150
seq5546,no_motif,,,,15,150
seq5547,A_only,85.0,,,13,150
seq5548,B_only,,94.0,,13,150
seq5549,B_only,,61.0,,14,150
seq5550,B_only,,102.0,,0,150
seq5551,both,1.0,61.0,50.0,12,150
seq5552,B_only,,73.0,,14,150
seq5553,both,49.0,130.0,70.0,9,150
seq5554,A_only,73.0,,,0,150
seq5555,A_only,98.0,,,13,150
seq5556,both,12.0,30.0,10.0,13,150
seq5557,both,23.0,60.0,30.0,0,150
seq5558,both,37.0,66.0,20.0,12,150
seq5559,both,13.0,84.0,60.0,10,150
seq5560,both,34.0,91.0,50.0,0,150
seq5561,A_only,21.0,,,0,150
seq5562,A_only,25.0,,,0,150
seq5563,no_motif,,,,0,150
seq5564,both,27.0,120.0,80.0,10,150
seq5565,both,5.0,63.0,50.0,10,150
seq5566,both,100.0,118.0,10.0,13,150
seq5567,both,38.0,106.0,60.0,7,150
seq5568,both,38.0,143.0,90.0,11,150
seq5569,A_only,110.0,,,14,150
seq5570,both,58.0,87.0,20.0,12,150
seq5571,B_only,,111.0,,0,150
seq5572,B_only,,108.0,,13,150
seq5573,no_motif,,,,15,150
seq5574,B_only,,52.0,,14,150
seq5575,both,25.0,87.0,50.0,12,150
seq5576,both,50.0,88.0,30.0,11,150
seq5577,both,80.0,131.0,40.0,13,150
seq5578,no_motif,,,,15,150
seq5579,B_only,,5.0,,14,150
seq5580,no_motif,,,,15,150
seq5581,A_only,111.0,,,14,150
seq5582,B_only,,5.0,,14,150
seq5583,A_only,117.0,,,13,150
seq5584,both,8.0,98.0,80.0,8,150
seq5585,B_only,,61.0,,14,150
seq5586,A_only,109.0,,,13,150
seq5587,no_motif,,,,0,150
seq5588,no_motif,,,,0,150
seq5589,B_only,,80.0,,14,150
seq5590,B_only,,29.0,,13,150
seq5591,both,18.0,90.0,60.0,11,150
seq5592,A_only,38.0,,,13,150
seq5593,both,2.0,62.0,50.0,12,150
seq5594,both,15.0,106.0,80.0,8,150
seq5595,B_only,,59.0,,13,150
seq5596,both,23.0,71.0,40.0,10,150
seq5597,no_motif,,,,0,150
seq5598,no_motif,,,,15,150
seq5599,B_only,,77.0,,0,150
seq5600,B_only,,60.0,,14,150
seq5601,both,10.0,58.0,40.0,10,150
seq5602,both,93.0,141.0,40.0,11,150
seq5603,no_motif,,,,0,150
seq5604,B_only,,121.0,,0,150
seq5605,both,86.0,104.0,10.0,12,150
seq5606,no_motif,,,,15,150
seq5607,B_only,,7.0,,14,150
seq5608,no_motif,,,,0,150
seq5609,no_motif,,,,15,150
seq5610,no_motif,,,,0,150
seq5611,A_only,125.0,,,13,150
seq5612,both,6.0,90.0,70.0,13,150
seq5613,both,17.0,114.0,90.0,0,150
seq5614,A_only,99.0,,,13,150
seq5615,both,30.0,137.0,100.0,0,150
seq5616,A_only,86.0,,,13,150
seq5617,A_only,45.0,,,0,150
seq5618,A_only,65.0,,,13,150
seq5619,both,51.0,69.0,10.0,13,150
seq5620,A_only,4.0,,,14,150
seq5621,B_only,,132.0,,14,150
seq5622,both,15.0,128.0,100.0,8,150
seq5623,no_motif,,,,0,150
seq5624,no_motif,,,,15,150
seq5625,B_only,,71.0,,0,150
seq5626,A_only,63.0,,,14,150
seq5627,both,28.0,56.0,20.0,11,150
seq5628,B_only,,89.0,,13,150
seq5629,both,4.0,96.0,80.0,10,150
seq5630,both,39.0,108.0,60.0,8,150
seq5631,both,23.0,74.0,40.0,12,150
seq5632,both,58.0,119.0,50.0,11,150
seq5633,both,27.0,133.0,90.0,12,150
seq5634,B_only,,143.0,,14,150
seq5635,both,11.0,50.0,30.0,12,150
seq5636,no_motif,,,,15,150
seq5637,A_only,132.0,,,14,150
seq5638,both,60.0,140.0,70.0,10,150
seq5639,B_only,,129.0,,13,150
seq5640,A_only,97.0,,,0,150
seq5641,both,76.0,94.0,10.0,12,150
seq5642,no_motif,,,,15,150
seq5643,both,7.0,56.0,40.0,11,150
seq5644,A_only,41.0,,,14,150
seq5645,no_motif,,,,15,150
seq5646,B_only,,101.0,,0,150
seq5647,A_only,87.0,,,0,150
seq5648,both,88.0,127.0,30.0,11,150
seq5649,B_only,,109.0,,13,150
seq5650,B_only,,77.0,,0,150
seq5651,B_only,,68.0,,13,150
seq5652,A_only,125.0,,,13,150
seq5653,both,11.0,84.0,60.0,12,150
seq5654,both,29.0,58.0,20.0,12,150
seq5655,both,8.0,124.0,100.0,11,150
seq5656,B_only,,4.0,,14,150
seq5657,A_only,9.0,,,14,150
seq5658,no_motif,,,,15,150
seq5659,B_only,,135.0,,14,150
seq5660,both,32.0,49.0,10.0,0,150
seq5661,A_only,35.0,,,13,150
seq5662,no_motif,,,,15,150
seq5663,both,28.0,121.0,80.0,10,150
seq5664,both,69.0,87.0,10.0,12,150
seq5665,B_only,,122.0,,14,150
seq5666,B_only,,36.0,,13,150
seq5667,both,14.0,61.0,40.0,0,150
seq5668,both,61.0,121.0,50.0,11,150
seq5669,both,63.0,141.0,70.0,8,150
seq5670,B_only,,108.0,,13,150
seq5671,both,24.0,123.0,90.0,6,150
seq5672,A_only,21.0,,,14,150
seq5673,both,90.0,119.0,20.0,13,150
seq5674,B_only,,92.0,,14,150
seq5675,both,90.0,129.0,30.0,12,150
seq5676,both,63.0,122.0,50.0,10,150
seq5677,A_only,37.0,,,13,150
seq5678,B_only,,90.0,,14,150
seq5679,A_only,39.0,,,0,150
seq5680,A_only,94.0,,,0,150
seq5681,no_motif,,,,15,150
seq5682,A_only,62.0,,,14,150
seq5683,B_only,,122.0,,14,150
seq5684,both,2.0,74.0,60.0,12,150
seq5685,both,51.0,142.0,80.0,10,150
seq5686,both,51.0,109.0,50.0,9,150
seq5687,A_only,34.0,,,0,150
seq5688,both,46.0,103.0,50.0,0,150
seq5689,both,79.0,127.0,40.0,9,150
seq5690,both,14.0,91.0,70.0,0,150
seq5691,A_only,101.0,,,14,150
seq5692,A_only,106.0,,,13,150
seq5693,both,34.0,121.0,80.0,0,150
seq5694,B_only,,68.0,,13,150
seq5695,B_only,,22.0,,0,150
seq5696,B_only,,58.0,,13,150
seq5697,A_only,95.0,,,13,150
seq5698,A_only,91.0,,,14,150
seq5699,both,100.0,137.0,30.0,0,150
seq5700,no_motif,,,,15,150
seq5701,B_only,,87.0,,13,150
seq5702,A_only,54.0,,,13,150
seq5703,B_only,,34.0,,13,150
seq5704,no_motif,,,,15,150
seq5705,both,72.0,119.0,40.0,0,150
seq5706,both,3.0,51.0,40.0,11,150
seq5707,A_only,23.0,,,0,150
seq5708,B_only,,55.0,,13,150
seq5709,both,29.0,137.0,100.0,4,150
seq5710,both,89.0,107.0,10.0,12,150
seq5711,B_only,,61.0,,14,150
seq5712,B_only,,31.0,,0,150
seq5713,both,10.0,39.0,20.0,13,150
seq5714,both,31.0,100.0,60.0,9,150
seq5715,A_only,84.0,,,13,150
seq5716,both,3.0,71.0,60.0,9,150
seq5717,A_only,125.0,,,13,150
seq5718,both,34.0,140.0,90.0,13,150
seq5719,A_only,26.0,,,13,150
seq5720,A_only,19.0,,,13,150
seq5721,both,12.0,96.0,70.0,12,150
seq5722,A_only,72.0,,,14,150
seq5723,both,30.0,132.0,90.0,9,150
seq5724,B_only,,0.0,,0,150
seq5725,A_only,52.0,,,0,150
seq5726,both,4.0,33.0,20.0,14,150
seq5727,A_only,2.0,,,15,150
seq5728,B_only,,72.0,,0,150
seq5729,no_motif,,,,15,150
seq5730,no_motif,,,,15,150
seq5731,B_only,,56.0,,13,150
seq5732,A_only,130.0,,,14,150
seq5733,both,10.0,94.0,70.0,12,150
seq5734,both,36.0,65.0,20.0,12,150
seq5735,no_motif,,,,0,150
seq5736,A_only,38.0,,,13,150
seq5737,both,22.0,121.0,90.0,6,150
seq5738,B_only,,120.0,,14,150
seq5739,both,65.0,82.0,10.0,0,150
seq5740,A_only,40.0,,,14,150
seq5741,B_only,,68.0,,13,150
seq5742,both,9.0,27.0,10.0,13,150
seq5743,A_only,99.0,,,0,150
seq5744,A_only,139.0,,,0,150
seq5745,both,59.0,98.0,30.0,11,150
seq5746,both,41.0,89.0,40.0,10,150
