id,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_per_sequence,del_between
seq3017,1.0,91.0,80.0,9,3.0
seq3018,46.0,114.0,60.0,7,1.0
seq3020,111.0,128.0,10.0,0,0.0
seq3022,3.0,115.0,100.0,8,5.0
seq3023,77.0,95.0,10.0,12,1.0
seq3028,32.0,99.0,60.0,0,0.0
seq3031,39.0,116.0,70.0,0,0.0
seq3034,67.0,107.0,30.0,12,3.0
seq3037,61.0,142.0,70.0,11,4.0
seq3041,39.0,136.0,90.0,0,0.0
seq3044,62.0,80.0,10.0,13,1.0
seq3047,16.0,118.0,90.0,8,5.0
seq3048,9.0,88.0,70.0,8,2.0
seq3050,94.0,112.0,10.0,13,1.0
seq3052,20.0,81.0,50.0,12,4.0
seq3056,7.0,94.0,80.0,0,0.0
seq3059,73.0,101.0,20.0,12,1.0
seq3063,31.0,133.0,90.0,9,5.0
seq3064,15.0,72.0,50.0,0,0.0
seq3065,51.0,69.0,10.0,13,1.0
seq3066,5.0,52.0,40.0,0,0.0
seq3069,46.0,135.0,80.0,7,2.0
seq3070,63.0,81.0,10.0,13,1.0
seq3072,88.0,138.0,40.0,12,3.0
seq3074,39.0,130.0,80.0,8,4.0
seq3076,86.0,125.0,30.0,11,2.0
seq3081,35.0,124.0,80.0,6,2.0
seq3082,19.0,66.0,40.0,0,0.0
seq3083,3.0,42.0,30.0,13,2.0
seq3084,70.0,107.0,30.0,0,0.0
seq3089,4.0,91.0,80.0,0,0.0
seq3092,84.0,133.0,40.0,11,2.0
seq3094,10.0,94.0,70.0,12,7.0
seq3099,44.0,101.0,50.0,0,0.0
seq3100,14.0,86.0,60.0,11,5.0
seq3110,13.0,106.0,80.0,10,6.0
seq3113,93.0,121.0,20.0,12,1.0
seq3115,10.0,80.0,60.0,10,3.0
seq3116,40.0,124.0,70.0,12,7.0
seq3117,88.0,126.0,30.0,10,1.0
seq3125,35.0,135.0,90.0,7,3.0
seq3131,79.0,140.0,50.0,12,4.0
seq3136,55.0,102.0,40.0,0,0.0
seq3138,2.0,96.0,80.0,12,7.0
seq3139,23.0,100.0,70.0,0,0.0
seq3140,0.0,116.0,100.0,11,9.0
seq3142,17.0,112.0,80.0,12,8.0
seq3143,9.0,92.0,70.0,12,6.0
seq3145,40.0,121.0,70.0,10,4.0
seq3146,27.0,120.0,80.0,10,6.0
seq3148,84.0,123.0,30.0,12,2.0
seq3151,22.0,120.0,90.0,5,1.0
seq3152,30.0,113.0,70.0,12,6.0
seq3153,47.0,124.0,70.0,0,0.0
seq3156,5.0,116.0,100.0,7,4.0
seq3157,12.0,122.0,100.0,6,3.0
seq3163,34.0,143.0,100.0,5,2.0
seq3168,20.0,89.0,60.0,9,2.0
seq3169,78.0,96.0,10.0,12,1.0
seq3172,24.0,83.0,50.0,10,2.0
seq3176,15.0,104.0,80.0,6,2.0
seq3177,35.0,53.0,10.0,13,1.0
seq3178,63.0,130.0,60.0,0,0.0
seq3179,27.0,87.0,50.0,10,3.0
seq3182,32.0,60.0,20.0,12,1.0
seq3184,49.0,119.0,60.0,9,3.0
seq3185,6.0,93.0,80.0,0,0.0
seq3187,52.0,110.0,50.0,9,1.0
seq3196,16.0,33.0,10.0,0,0.0
seq3199,80.0,97.0,10.0,0,0.0
seq3201,0.0,97.0,90.0,0,0.0
seq3219,36.0,134.0,90.0,5,1.0
seq3221,1.0,72.0,60.0,12,4.0
seq3226,25.0,98.0,60.0,12,6.0
seq3227,74.0,136.0,50.0,13,5.0
seq3234,102.0,130.0,20.0,12,1.0
seq3235,53.0,80.0,20.0,0,0.0
seq3242,111.0,139.0,20.0,13,1.0
seq3244,11.0,60.0,40.0,11,2.0
seq3245,34.0,139.0,90.0,12,8.0
seq3247,35.0,63.0,20.0,12,1.0
seq3248,51.0,80.0,20.0,13,2.0
seq3251,112.0,139.0,20.0,0,0.0
seq3254,25.0,112.0,80.0,0,0.0
seq3266,62.0,109.0,40.0,0,0.0
seq3270,4.0,95.0,80.0,9,4.0
seq3271,36.0,54.0,10.0,12,1.0
seq3277,10.0,107.0,90.0,0,0.0
seq3282,24.0,73.0,40.0,11,2.0
seq3285,38.0,125.0,80.0,0,0.0
seq3286,77.0,139.0,50.0,13,5.0
seq3288,52.0,100.0,40.0,10,1.0
seq3289,0.0,79.0,70.0,8,2.0
seq3290,82.0,143.0,50.0,12,4.0
seq3294,20.0,134.0,100.0,10,7.0
seq3295,92.0,140.0,40.0,11,1.0
seq3296,17.0,124.0,100.0,0,0.0
seq3301,69.0,98.0,20.0,12,2.0
seq3302,44.0,101.0,50.0,0,0.0
seq3305,26.0,114.0,80.0,5,1.0
seq3311,23.0,128.0,90.0,11,8.0
seq3313,28.0,142.0,100.0,10,7.0
seq3314,8.0,102.0,80.0,12,7.0
seq3315,38.0,85.0,40.0,0,0.0
seq3316,103.0,140.0,30.0,0,0.0
seq3321,18.0,126.0,100.0,3,1.0
seq3324,92.0,130.0,30.0,11,1.0
seq3325,18.0,75.0,50.0,0,0.0
seq3331,86.0,143.0,50.0,0,0.0
seq3332,11.0,108.0,90.0,0,0.0
seq3335,8.0,69.0,50.0,12,4.0
seq3337,97.0,135.0,30.0,11,1.0
seq3343,32.0,125.0,80.0,10,6.0
seq3346,3.0,21.0,10.0,14,1.0
seq3351,60.0,122.0,50.0,13,5.0
seq3352,5.0,112.0,100.0,0,0.0
seq3355,54.0,141.0,80.0,0,0.0
seq3359,77.0,115.0,30.0,10,1.0
seq3360,16.0,63.0,40.0,0,0.0
seq3361,33.0,132.0,90.0,6,2.0
seq3362,61.0,142.0,70.0,11,4.0
seq3366,12.0,71.0,50.0,10,2.0
seq3367,80.0,117.0,30.0,0,0.0
seq3371,40.0,80.0,30.0,13,3.0
seq3375,8.0,65.0,50.0,0,0.0
seq3381,59.0,97.0,30.0,10,1.0
seq3386,8.0,68.0,50.0,11,3.0
seq3391,15.0,120.0,90.0,11,8.0
seq3395,10.0,49.0,30.0,12,2.0
seq3397,55.0,82.0,20.0,0,0.0
seq3398,2.0,95.0,80.0,11,6.0
seq3399,26.0,123.0,90.0,0,0.0
seq3401,44.0,139.0,80.0,13,8.0
seq3402,36.0,138.0,90.0,9,5.0
seq3403,59.0,96.0,30.0,0,0.0
seq3404,12.0,119.0,100.0,0,0.0
seq3408,0.0,80.0,70.0,9,3.0
seq3409,100.0,118.0,10.0,13,1.0
seq3410,13.0,118.0,90.0,11,8.0
seq3411,7.0,35.0,20.0,12,1.0
seq3413,17.0,124.0,100.0,0,0.0
seq3419,32.0,122.0,80.0,8,3.0
seq3420,69.0,117.0,40.0,9,1.0
seq3423,83.0,120.0,30.0,0,0.0
seq3424,98.0,126.0,20.0,11,1.0
seq3426,44.0,104.0,50.0,10,3.0
seq3429,28.0,76.0,40.0,9,1.0
seq3431,30.0,134.0,90.0,11,7.0
seq3435,0.0,51.0,40.0,13,4.0
seq3439,102.0,140.0,30.0,12,1.0
seq3444,24.0,136.0,100.0,8,5.0
seq3449,73.0,123.0,40.0,12,3.0
seq3450,29.0,126.0,90.0,0,0.0
seq3451,1.0,68.0,60.0,0,0.0
seq3452,52.0,99.0,40.0,0,0.0
seq3453,109.0,126.0,10.0,0,0.0
seq3456,74.0,111.0,30.0,0,0.0
seq3459,11.0,84.0,60.0,12,6.0
seq3460,22.0,109.0,80.0,0,0.0
seq3461,6.0,107.0,90.0,8,4.0
seq3464,36.0,117.0,70.0,9,4.0
seq3466,42.0,104.0,50.0,12,5.0
seq3467,126.0,143.0,10.0,0,0.0
seq3470,4.0,120.0,100.0,12,9.0
seq3473,57.0,75.0,10.0,12,1.0
seq3476,52.0,132.0,70.0,9,3.0
seq3477,33.0,136.0,90.0,10,6.0
seq3478,22.0,72.0,40.0,12,3.0
seq3482,79.0,127.0,40.0,9,1.0
seq3483,30.0,57.0,20.0,0,0.0
seq3484,27.0,109.0,70.0,10,5.0
seq3486,19.0,125.0,90.0,11,9.0
seq3493,22.0,129.0,100.0,0,0.0
seq3498,56.0,103.0,40.0,0,0.0
seq3499,53.0,126.0,60.0,12,6.0
seq3500,64.0,82.0,10.0,13,1.0
seq3501,35.0,84.0,40.0,10,2.0
seq3505,75.0,124.0,40.0,10,2.0
seq3506,47.0,134.0,80.0,0,0.0
seq3507,101.0,129.0,20.0,12,1.0
seq3508,3.0,84.0,70.0,10,4.0
seq3513,58.0,87.0,20.0,12,2.0
seq3516,58.0,135.0,70.0,0,0.0
seq3519,56.0,103.0,40.0,0,0.0
seq3522,0.0,97.0,90.0,0,0.0
seq3523,21.0,128.0,100.0,0,0.0
seq3525,76.0,116.0,30.0,12,3.0
seq3527,104.0,132.0,20.0,12,1.0
seq3530,31.0,118.0,80.0,0,0.0
seq3545,6.0,118.0,100.0,8,5.0
seq3548,98.0,126.0,20.0,11,1.0
seq3549,57.0,95.0,30.0,10,1.0
seq3550,17.0,115.0,90.0,4,1.0
seq3553,20.0,37.0,10.0,0,0.0
seq3555,28.0,131.0,90.0,9,6.0
seq3561,62.0,90.0,20.0,12,1.0
seq3563,8.0,117.0,100.0,5,2.0
seq3564,20.0,93.0,60.0,13,6.0
seq3565,20.0,102.0,70.0,11,5.0
seq3566,67.0,95.0,20.0,11,1.0
seq3568,28.0,46.0,10.0,12,1.0
seq3569,5.0,65.0,50.0,11,3.0
seq3570,74.0,141.0,60.0,0,0.0
seq3579,61.0,128.0,60.0,0,0.0
seq3580,44.0,141.0,90.0,0,0.0
seq3583,14.0,64.0,40.0,11,3.0
seq3584,6.0,86.0,70.0,9,3.0
seq3587,106.0,143.0,30.0,0,0.0
seq3588,58.0,128.0,60.0,9,3.0
seq3591,40.0,87.0,40.0,0,0.0
seq3593,34.0,111.0,70.0,0,0.0
seq3595,54.0,92.0,30.0,11,1.0
seq3596,43.0,131.0,80.0,6,1.0
seq3599,62.0,119.0,50.0,0,0.0
seq3602,53.0,135.0,70.0,11,5.0
seq3606,12.0,69.0,50.0,0,0.0
seq3610,94.0,133.0,30.0,12,2.0
seq3614,36.0,133.0,90.0,0,0.0
seq3617,12.0,109.0,90.0,0,0.0
seq3618,35.0,97.0,50.0,12,5.0
seq3619,29.0,112.0,70.0,11,6.0
seq3623,89.0,140.0,40.0,13,4.0
seq3624,23.0,80.0,50.0,0,0.0
seq3632,38.0,66.0,20.0,11,1.0
seq3634,58.0,118.0,50.0,10,3.0
seq3636,45.0,127.0,70.0,10,5.0
seq3638,26.0,120.0,80.0,11,7.0
seq3639,59.0,141.0,70.0,11,5.0
seq3640,16.0,119.0,90.0,9,6.0
seq3645,43.0,122.0,70.0,8,2.0
seq3646,16.0,55.0,30.0,11,2.0
seq3648,4.0,22.0,10.0,14,1.0
seq3651,3.0,60.0,50.0,0,0.0
seq3657,20.0,68.0,40.0,10,1.0
seq3659,22.0,100.0,70.0,7,1.0
seq3660,79.0,108.0,20.0,12,2.0
seq3663,69.0,109.0,30.0,12,3.0
seq3664,72.0,99.0,20.0,0,0.0
seq3665,12.0,30.0,10.0,13,1.0
seq3666,31.0,81.0,40.0,12,3.0
seq3668,93.0,111.0,10.0,13,1.0
seq3670,38.0,105.0,60.0,0,0.0
seq3673,91.0,108.0,10.0,0,0.0
seq3674,15.0,87.0,60.0,11,5.0
seq3677,13.0,90.0,70.0,0,0.0
seq3678,62.0,130.0,60.0,8,1.0
seq3679,98.0,116.0,10.0,12,1.0
seq3681,81.0,109.0,20.0,12,1.0
seq3688,15.0,92.0,70.0,0,0.0
seq3689,18.0,134.0,100.0,11,9.0
seq3690,9.0,60.0,40.0,13,4.0
seq3691,14.0,54.0,30.0,12,3.0
seq3692,38.0,88.0,40.0,11,3.0
seq3694,21.0,128.0,100.0,0,0.0
seq3695,4.0,44.0,30.0,13,3.0
seq3700,4.0,111.0,100.0,0,0.0
seq3702,11.0,89.0,70.0,7,1.0
seq3703,81.0,131.0,40.0,12,3.0
seq3705,13.0,81.0,60.0,8,1.0
seq3707,119.0,137.0,10.0,13,1.0
seq3710,29.0,130.0,90.0,7,4.0
seq3711,1.0,95.0,80.0,12,7.0
seq3713,26.0,88.0,50.0,12,5.0
seq3715,24.0,111.0,80.0,0,0.0
seq3719,99.0,117.0,10.0,12,1.0
seq3725,70.0,99.0,20.0,13,2.0
seq3728,38.0,66.0,20.0,11,1.0
seq3730,23.0,103.0,70.0,9,3.0
seq3734,52.0,142.0,80.0,9,3.0
seq3737,59.0,88.0,20.0,12,2.0
seq3741,25.0,76.0,40.0,12,4.0
seq3746,55.0,117.0,50.0,12,5.0
seq3747,102.0,142.0,30.0,14,3.0
seq3748,64.0,121.0,50.0,0,0.0
seq3749,38.0,67.0,20.0,12,2.0
seq3750,10.0,83.0,60.0,13,6.0
seq3751,35.0,108.0,60.0,12,6.0
seq3754,9.0,57.0,40.0,10,1.0
seq3755,6.0,120.0,100.0,10,7.0
seq3760,99.0,139.0,30.0,13,3.0
seq3761,37.0,119.0,70.0,10,5.0
seq3768,92.0,139.0,40.0,0,0.0
seq3769,25.0,128.0,90.0,9,6.0
seq3772,92.0,131.0,30.0,12,2.0
seq3775,84.0,112.0,20.0,12,1.0
seq3776,29.0,57.0,20.0,11,1.0
seq3778,47.0,84.0,30.0,0,0.0
seq3784,44.0,93.0,40.0,11,2.0
seq3785,9.0,68.0,50.0,10,2.0
seq3790,29.0,116.0,80.0,0,0.0
seq3792,22.0,49.0,20.0,0,0.0
seq3795,81.0,99.0,10.0,13,1.0
seq3799,79.0,126.0,40.0,0,0.0
seq3801,13.0,111.0,90.0,5,1.0
seq3803,96.0,124.0,20.0,11,1.0
seq3805,28.0,135.0,100.0,0,0.0
seq3810,102.0,131.0,20.0,13,2.0
seq3811,6.0,35.0,20.0,13,2.0
seq3812,5.0,115.0,100.0,6,3.0
seq3815,48.0,97.0,40.0,10,2.0
seq3817,26.0,107.0,70.0,9,4.0
seq3819,60.0,89.0,20.0,13,2.0
seq3820,69.0,106.0,30.0,0,0.0
seq3823,50.0,68.0,10.0,13,1.0
seq3824,85.0,122.0,30.0,0,0.0
seq3832,48.0,87.0,30.0,11,2.0
seq3834,22.0,39.0,10.0,0,0.0
seq3836,23.0,41.0,10.0,13,1.0
seq3837,36.0,128.0,80.0,9,5.0
seq3839,67.0,84.0,10.0,0,0.0
seq3842,15.0,94.0,70.0,7,2.0
seq3844,111.0,129.0,10.0,13,1.0
seq3845,18.0,99.0,70.0,9,4.0
seq3848,5.0,99.0,80.0,12,7.0
seq3855,12.0,40.0,20.0,12,1.0
seq3856,41.0,123.0,70.0,11,5.0
seq3861,86.0,133.0,40.0,0,0.0
seq3867,24.0,86.0,50.0,12,5.0
seq3868,8.0,123.0,100.0,11,8.0
seq3870,11.0,60.0,40.0,11,2.0
seq3872,29.0,67.0,30.0,10,1.0
seq3876,55.0,104.0,40.0,10,2.0
seq3877,51.0,118.0,60.0,0,0.0
seq3880,76.0,136.0,50.0,11,3.0
seq3882,31.0,104.0,60.0,12,6.0
seq3884,74.0,123.0,40.0,11,2.0
seq3885,65.0,122.0,50.0,0,0.0
seq3887,40.0,121.0,70.0,10,4.0
seq3890,34.0,51.0,10.0,0,0.0
seq3894,11.0,118.0,100.0,0,0.0
seq3896,37.0,104.0,60.0,0,0.0
seq3901,37.0,65.0,20.0,11,1.0
seq3902,23.0,126.0,90.0,9,6.0
seq3905,62.0,113.0,40.0,13,4.0
seq3907,13.0,100.0,80.0,0,0.0
seq3912,15.0,124.0,100.0,4,2.0
seq3913,23.0,82.0,50.0,10,2.0
seq3914,48.0,86.0,30.0,10,1.0
seq3915,86.0,135.0,40.0,11,2.0
seq3916,36.0,63.0,20.0,0,0.0
seq3917,16.0,103.0,80.0,0,0.0
seq3922,20.0,81.0,50.0,12,4.0
seq3923,75.0,113.0,30.0,11,1.0
seq3925,30.0,90.0,50.0,11,3.0
seq3933,31.0,68.0,30.0,0,0.0
seq3935,92.0,110.0,10.0,13,1.0
seq3936,24.0,131.0,100.0,0,0.0
seq3941,1.0,107.0,90.0,13,9.0
seq3942,10.0,79.0,60.0,9,2.0
seq3944,19.0,107.0,80.0,5,1.0
seq3947,18.0,85.0,60.0,0,0.0
seq3948,24.0,121.0,90.0,0,0.0
seq3949,63.0,90.0,20.0,0,0.0
seq3951,17.0,90.0,60.0,12,6.0
seq3966,103.0,141.0,30.0,12,1.0
seq3970,8.0,120.0,100.0,8,5.0
seq3971,0.0,91.0,80.0,9,4.0
seq3972,3.0,65.0,50.0,13,5.0
seq3973,45.0,112.0,60.0,0,0.0
seq3978,35.0,75.0,30.0,12,3.0
seq3984,2.0,109.0,100.0,0,0.0
seq3989,36.0,133.0,90.0,0,0.0
seq3991,8.0,89.0,70.0,10,4.0
seq3995,31.0,80.0,40.0,11,2.0
seq3996,12.0,123.0,100.0,7,4.0
seq3999,30.0,130.0,90.0,7,3.0
seq4000,66.0,123.0,50.0,0,0.0
seq4003,82.0,143.0,50.0,12,4.0
seq4008,5.0,100.0,80.0,13,8.0
seq4010,85.0,134.0,40.0,11,2.0
seq4011,25.0,109.0,70.0,12,7.0
seq4012,40.0,112.0,60.0,12,5.0
seq4014,98.0,127.0,20.0,12,2.0
seq4015,4.0,86.0,70.0,11,5.0
seq4017,27.0,107.0,70.0,8,3.0
seq4018,72.0,90.0,10.0,13,1.0
seq4020,34.0,133.0,90.0,6,2.0
seq4021,20.0,122.0,90.0,9,5.0
seq4022,53.0,101.0,40.0,10,1.0
seq4028,18.0,77.0,50.0,9,2.0
seq4029,35.0,143.0,100.0,4,1.0
seq4034,51.0,134.0,70.0,12,6.0
seq4036,17.0,126.0,100.0,4,2.0
seq4037,50.0,101.0,40.0,13,4.0
seq4038,92.0,132.0,30.0,13,3.0
seq4041,30.0,97.0,60.0,0,0.0
seq4042,4.0,52.0,40.0,11,1.0
seq4044,86.0,103.0,10.0,0,0.0
seq4048,19.0,119.0,90.0,6,3.0
seq4050,9.0,126.0,100.0,12,10.0
seq4052,59.0,120.0,50.0,11,4.0
seq4058,34.0,128.0,80.0,11,7.0
seq4059,5.0,92.0,80.0,0,0.0
seq4060,2.0,95.0,80.0,11,6.0
seq4064,3.0,111.0,100.0,5,1.0
seq4068,23.0,104.0,70.0,9,4.0
seq4071,2.0,109.0,100.0,0,0.0
seq4072,14.0,111.0,90.0,0,0.0
seq4079,26.0,87.0,50.0,11,4.0
seq4080,16.0,118.0,90.0,8,5.0
seq4084,111.0,129.0,10.0,13,1.0
seq4087,15.0,42.0,20.0,0,0.0
seq4089,5.0,54.0,40.0,11,2.0
seq4090,81.0,138.0,50.0,0,0.0
seq4093,52.0,92.0,30.0,13,3.0
seq4095,13.0,101.0,80.0,6,1.0
seq4097,87.0,125.0,30.0,10,1.0
seq4100,27.0,104.0,70.0,0,0.0
seq4105,90.0,138.0,40.0,11,1.0
seq4106,81.0,99.0,10.0,13,1.0
seq4112,32.0,139.0,100.0,0,0.0
seq4113,71.0,133.0,50.0,13,5.0
seq4118,40.0,140.0,90.0,8,3.0
seq4121,31.0,68.0,30.0,0,0.0
seq4123,115.0,143.0,20.0,12,1.0
seq4126,8.0,100.0,80.0,10,5.0
seq4129,48.0,96.0,40.0,9,1.0
seq4131,68.0,96.0,20.0,11,1.0
seq4132,13.0,85.0,60.0,11,5.0
seq4136,11.0,108.0,90.0,0,0.0
seq4138,87.0,125.0,30.0,10,1.0
seq4142,12.0,100.0,80.0,6,1.0
seq4145,49.0,96.0,40.0,0,0.0
seq4146,63.0,100.0,30.0,0,0.0
seq4147,33.0,61.0,20.0,12,1.0
seq4148,50.0,137.0,80.0,0,0.0
seq4150,38.0,56.0,10.0,12,1.0
seq4151,8.0,37.0,20.0,13,2.0
seq4155,31.0,139.0,100.0,5,1.0
seq4159,26.0,123.0,90.0,0,0.0
seq4161,18.0,122.0,90.0,10,7.0
seq4162,62.0,112.0,40.0,12,3.0
seq4163,26.0,126.0,90.0,6,3.0
seq4165,31.0,129.0,90.0,5,1.0
seq4167,19.0,128.0,100.0,4,2.0
seq4171,79.0,129.0,40.0,11,3.0
seq4173,7.0,124.0,100.0,12,10.0
seq4177,106.0,124.0,10.0,12,1.0
seq4179,3.0,86.0,70.0,12,6.0
seq4187,10.0,115.0,90.0,11,8.0
seq4191,7.0,115.0,100.0,4,1.0
seq4193,56.0,74.0,10.0,12,1.0
seq4200,46.0,140.0,80.0,12,7.0
seq4201,34.0,123.0,80.0,7,2.0
seq4203,35.0,106.0,60.0,10,4.0
seq4205,22.0,121.0,90.0,6,2.0
seq4209,37.0,115.0,70.0,6,1.0
seq4210,32.0,89.0,50.0,0,0.0
seq4211,19.0,109.0,80.0,7,3.0
seq4213,32.0,134.0,90.0,9,5.0
seq4216,38.0,56.0,10.0,12,1.0
seq4217,23.0,130.0,100.0,0,0.0
seq4219,51.0,138.0,80.0,0,0.0
seq4221,27.0,142.0,100.0,11,8.0
seq4225,25.0,136.0,100.0,7,4.0
seq4227,28.0,78.0,40.0,11,3.0
seq4229,30.0,48.0,10.0,13,1.0
seq4231,25.0,120.0,80.0,12,8.0
seq4233,9.0,26.0,10.0,0,0.0
seq4237,103.0,140.0,30.0,0,0.0
seq4241,59.0,98.0,30.0,11,2.0
seq4242,27.0,124.0,90.0,0,0.0
seq4243,7.0,123.0,100.0,12,9.0
seq4244,72.0,129.0,50.0,0,0.0
seq4246,2.0,103.0,90.0,9,4.0
seq4247,12.0,101.0,80.0,7,2.0
seq4248,15.0,53.0,30.0,11,1.0
seq4251,42.0,81.0,30.0,12,2.0
seq4253,42.0,71.0,20.0,13,2.0
seq4262,13.0,112.0,90.0,6,2.0
seq4264,81.0,121.0,30.0,13,3.0
seq4266,43.0,121.0,70.0,7,1.0
seq4268,88.0,117.0,20.0,12,2.0
seq4271,5.0,62.0,50.0,0,0.0
seq4273,52.0,90.0,30.0,11,1.0
seq4275,28.0,120.0,80.0,9,5.0
seq4277,122.0,139.0,10.0,0,0.0
seq4286,71.0,133.0,50.0,13,5.0
seq4295,46.0,103.0,50.0,0,0.0
seq4296,2.0,114.0,100.0,8,5.0
seq4298,65.0,83.0,10.0,13,1.0
seq4299,23.0,50.0,20.0,0,0.0
seq4302,54.0,132.0,70.0,7,1.0
seq4304,12.0,101.0,80.0,7,2.0
seq4306,15.0,124.0,100.0,4,2.0
seq4310,63.0,81.0,10.0,13,1.0
seq4311,16.0,67.0,40.0,12,4.0
seq4314,17.0,111.0,80.0,11,7.0
seq4315,13.0,104.0,80.0,8,4.0
seq4319,21.0,112.0,80.0,9,4.0
seq4324,31.0,59.0,20.0,12,1.0
seq4325,34.0,104.0,60.0,9,3.0
seq4326,38.0,97.0,50.0,9,2.0
seq4328,17.0,35.0,10.0,12,1.0
seq4329,55.0,125.0,60.0,9,3.0
seq4330,73.0,101.0,20.0,12,1.0
seq4331,47.0,97.0,40.0,11,3.0
seq4332,37.0,106.0,60.0,8,2.0
seq4333,70.0,120.0,40.0,12,3.0
seq4334,90.0,137.0,40.0,0,0.0
seq4335,76.0,105.0,20.0,12,2.0
seq4337,90.0,119.0,20.0,13,2.0
seq4339,43.0,101.0,50.0,9,1.0
seq4341,37.0,135.0,90.0,5,1.0
seq4343,37.0,84.0,40.0,0,0.0
seq4344,24.0,125.0,90.0,7,4.0
seq4348,35.0,72.0,30.0,0,0.0
seq4350,27.0,100.0,60.0,12,6.0
seq4351,68.0,138.0,60.0,10,3.0
seq4354,66.0,125.0,50.0,9,2.0
seq4355,56.0,140.0,70.0,13,7.0
seq4357,31.0,119.0,80.0,6,1.0
seq4358,18.0,95.0,70.0,0,0.0
seq4360,58.0,137.0,70.0,8,2.0
seq4361,8.0,121.0,100.0,9,6.0
seq4363,0.0,106.0,90.0,12,9.0
seq4365,9.0,90.0,70.0,10,4.0
seq4367,58.0,105.0,40.0,0,0.0
seq4369,65.0,112.0,40.0,0,0.0
seq4370,9.0,116.0,100.0,0,0.0
seq4372,17.0,44.0,20.0,0,0.0
seq4373,65.0,104.0,30.0,11,2.0
seq4375,32.0,135.0,90.0,10,6.0
seq4378,31.0,98.0,60.0,0,0.0
seq4379,26.0,103.0,70.0,0,0.0
seq4384,79.0,141.0,50.0,13,5.0
seq4386,15.0,116.0,90.0,7,4.0
seq4387,6.0,97.0,80.0,9,4.0
seq4389,80.0,98.0,10.0,13,1.0
seq4391,19.0,48.0,20.0,12,2.0
seq4394,26.0,109.0,70.0,11,6.0
seq4395,75.0,103.0,20.0,12,1.0
seq4396,37.0,131.0,80.0,11,7.0
seq4397,10.0,94.0,70.0,12,7.0
seq4405,11.0,92.0,70.0,10,4.0
seq4412,17.0,124.0,100.0,0,0.0
seq4414,1.0,83.0,70.0,12,5.0
seq4416,32.0,129.0,90.0,0,0.0
seq4417,17.0,134.0,100.0,12,10.0
seq4418,106.0,124.0,10.0,12,1.0
seq4419,21.0,93.0,60.0,12,5.0
seq4420,18.0,91.0,60.0,12,6.0
seq4423,18.0,113.0,80.0,12,8.0
seq4425,8.0,86.0,70.0,7,1.0
seq4432,64.0,122.0,50.0,9,1.0
seq4433,33.0,60.0,20.0,0,0.0
seq4435,3.0,53.0,40.0,13,3.0
seq4438,60.0,137.0,70.0,0,0.0
seq4440,22.0,120.0,90.0,5,1.0
seq4441,38.0,78.0,30.0,12,3.0
seq4444,19.0,78.0,50.0,9,2.0
seq4448,43.0,83.0,30.0,13,3.0
seq4449,22.0,110.0,80.0,6,1.0
seq4450,35.0,126.0,80.0,8,4.0
seq4452,71.0,122.0,40.0,13,4.0
seq4454,2.0,99.0,90.0,0,0.0
seq4458,53.0,120.0,60.0,0,0.0
seq4459,52.0,121.0,60.0,9,2.0
seq4460,25.0,141.0,100.0,12,9.0
seq4464,9.0,112.0,90.0,10,6.0
seq4466,25.0,74.0,40.0,10,2.0
seq4467,62.0,123.0,50.0,12,4.0
seq4468,28.0,79.0,40.0,12,4.0
seq4476,92.0,142.0,40.0,13,3.0
seq4478,20.0,132.0,100.0,8,5.0
seq4480,22.0,106.0,70.0,12,7.0
seq4482,60.0,127.0,60.0,0,0.0
seq4490,58.0,128.0,60.0,9,3.0
seq4491,71.0,121.0,40.0,12,3.0
seq4494,1.0,39.0,30.0,12,1.0
seq4496,4.0,74.0,60.0,10,3.0
seq4498,75.0,113.0,30.0,11,1.0
seq4508,26.0,141.0,100.0,11,8.0
seq4509,9.0,27.0,10.0,13,1.0
seq4512,13.0,90.0,70.0,0,0.0
seq4514,22.0,137.0,100.0,11,8.0
seq4525,57.0,117.0,50.0,10,3.0
seq4527,46.0,106.0,50.0,10,3.0
seq4528,84.0,132.0,40.0,10,1.0
seq4529,11.0,118.0,100.0,0,0.0
seq4535,20.0,60.0,30.0,13,3.0
seq4536,105.0,133.0,20.0,12,1.0
seq4539,17.0,101.0,70.0,12,7.0
seq4543,33.0,51.0,10.0,13,1.0
seq4545,87.0,125.0,30.0,10,1.0
seq4547,111.0,139.0,20.0,13,1.0
seq4551,13.0,94.0,70.0,9,4.0
seq4552,35.0,64.0,20.0,12,2.0
seq4553,9.0,27.0,10.0,13,1.0
seq4556,10.0,116.0,90.0,12,9.0
seq4557,2.0,96.0,80.0,12,7.0
seq4558,42.0,69.0,20.0,0,0.0
seq4560,22.0,49.0,20.0,0,0.0
seq4565,20.0,127.0,100.0,0,0.0
seq4566,39.0,96.0,50.0,0,0.0
seq4567,21.0,130.0,100.0,5,2.0
seq4572,92.0,110.0,10.0,13,1.0
seq4575,56.0,134.0,70.0,7,1.0
seq4578,2.0,102.0,90.0,8,3.0
seq4579,50.0,79.0,20.0,13,2.0
seq4581,74.0,102.0,20.0,12,1.0
seq4584,47.0,65.0,10.0,12,1.0
seq4587,53.0,102.0,40.0,11,2.0
seq4592,52.0,142.0,80.0,9,3.0
seq4596,13.0,110.0,90.0,0,0.0
seq4598,24.0,101.0,70.0,0,0.0
